restaurant_name,city,address,latitude,longitude,cuisines,price_level,avg_rating,total_reviews_count,keywords,special_diets,features,atmosphere,keywords_clean,dominant_topic,target,target_pred,probability
La Vetrata,Les Deux-Alpes,"44 avenue de la Muzelle, Les Deux-Alpes France",45.013954,6.124657,"Italian, Pizza, European",€€-€€€,4.0,178.0,pizza ice cream visited restaurant ski holiday food amazing,,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Table Service",3.5,pizza ice cream visited restaurant ski holiday food amazing,0,1,1,1.5439453179488947
Le Forum,Orange,"3 rue du Mazeau, 84100 Orange France",44.136253,4.807565,"French, European",€€€€,4.0,336.0,french desserts gazpacho tuna cafe gourmand starters,,,4.0,french desserts gazpacho tuna cafe gourmand starters,3,1,1,1.5203705313423845
Auberge de la Truffe,Sorges,"14 rue Chateaureynaud, 24420 Sorges France",45.3072,0.873865,"French, Gastropub",€€€€,4.5,577.0,truffe truffle food wine grand marnier lovely evening,Vegetarian Friendly,,4.0,truffe truffle food wine grand marnier lovely evening,1,1,1,0.34405429245405167
The Red Frog,Les Deux-Alpes,"1 Place de Venosc, 38860 Les Deux-Alpes France",45.004612,6.121703,"Bar, British, Pub",€,4.0,162.0,great pub friendly staff good beer irish pub end day sports,,"Outdoor Seating, Seating, Television, Serves Alcohol, Full Bar, Free Wifi",4.0,great pub friendly staff good beer irish pub end day sports,1,1,1,1.8244004110837846
Johns American,Val Thorens,"Grande Rue Quartier Peclet Imm. Les 3 Vallées, 73440 Val Thorens, Les Belleville France",45.296894,6.583954,"Mexican, American",€€-€€€,4.0,303.0,ribs burger great food week france,,"Takeout, Reservations, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",3.5,ribs burger great food week france,3,1,1,1.300954909317583
Le Cafe Francais,Bordeaux,"5 Place Pey Berland 33000, 33000, Bordeaux France",44.83808,-0.578141,"French, Cafe, European",€€-€€€,3.5,696.0,caesar salad our waiter cathedral pey waiters,,,3.5,caesar salad our waiter cathedral pey waiters,5,0,0,-0.8076567919680423
La Cabane du Mimbeau,Cap-Ferret,"28 avenue de la Conche, 33970 Cap-Ferret, Lege-Cap-Ferret France",44.63737,-1.245937,"French, Seafood, Healthy",€€-€€€,4.5,623.0,oysters bread beautiful view tide cabane,,,5.0,oysters bread beautiful view tide cabane,4,1,1,0.2628760432790089
le Kaiku,Saint-Jean-de-Luz,"17 Rue de la Republique, 64500 Saint-Jean-de-Luz France",43.388554,-1.664401,"French, European",€€€€,4.5,1338.0,amuse bouche langoustines mignardises white asparagus crab,Vegetarian Friendly,,4.5,amuse bouche langoustines mignardises white asparagus crab,4,1,1,1.1561166434626269
Chez Pierrot,Paris,"18 rue Etienne Marcel Metro Etienne Marcel, 75002 Paris France",48.86402,2.348449,"French, European",€€-€€€,4.5,274.0,filet mignon main course friendly service waiter desert,Vegetarian Friendly,,4.5,filet mignon main course friendly service waiter desert,4,1,1,1.1792066438776534
Fiston,Lyon,"44 rue Merciere, 69002 Lyon France",45.762993,4.832735,"French, European, Healthy",€€-€€€,4.5,1133.0,onion soup scallops tartelette potatoes cafe gourmand,Vegetarian Friendly,,,onion soup scallops tartelette potatoes cafe gourmand,5,1,1,0.5686728243895035
Lou Camillou,Saint-Leon-sur-Vezere,"le Bourg, 24290 Saint-Leon-sur-Vezere, Montignac France",45.0108,1.08914,"American, French",€,4.5,104.0,lunch burger salad great food order,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,lunch burger salad great food order,1,1,1,0.8556834340668014
Le Bistrot de Biarritz (Le B2),Biarritz,"5 rue du Centre, 64200 Biarritz France",43.480602,-1.562344,"Seafood, French, Healthy",€€-€€€,4.5,823.0,sea bass foie gras monday evening excellent food nice atmosphere,,,4.0,sea bass foie gras monday evening excellent food nice atmosphere,1,1,1,0.6763342506815764
Clover Grill,Paris,"6 rue Bailleul, 75001 Paris France",48.861004,2.341931,"Grill, French, Steakhouse, European",€€€€,4.0,441.0,churros pineapple bone marrow steak carbonara,,"Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",,churros pineapple bone marrow steak carbonara,5,1,0,-0.2062378760068212
Le Chalet,Domme,"D703, 24250 Domme France",44.826523,1.225464,"French, Bar, European",€€-€€€,3.5,315.0,steak pizza omelette river perfect spot,,"Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Validated Parking",4.5,steak pizza omelette river perfect spot,2,0,1,0.08804229123016116
Beau Sejour,Sainte-Suzanne,"Rue de la Liberation, 53270 Sainte-Suzanne, Sainte-Suzanne-et-Chammes France",48.098248,-0.352507,"French, European",€€-€€€,4.5,115.0,cheese board dishes dessert menu table,,"Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Highchairs Available",3.5,cheese board dishes dessert menu table,4,1,1,0.19497708364484734
Brasserie d'en face,Arromanches-les-Bains,"2 rue du petit Fontaine, 14117 Arromanches-les-Bains France",49.34459,-0.621974,"French, Bar, European",€€-€€€,4.0,708.0,scallops great moules friendly service centre town choice food,Vegetarian Friendly,,4.0,scallops great moules friendly service centre town choice food,3,1,1,0.7180883309584667
Tartine et galinette,Nice,"31 rue Bonaparte, 06300 Nice France",43.700672,7.284324,"Pizza, Fast food, European",€,5.0,411.0,pizza cakes great taste crispy ingredients,"Vegetarian Friendly, Vegan Options",,,pizza cakes great taste crispy ingredients,1,1,1,2.041276647253541
Madito,Paris,"12 rue de Candie, 75011 Paris France",48.849976,2.381238,"Lebanese, Mediterranean, Middle Eastern",€€-€€€,5.0,233.0,lebanese restaurant set menu middle eastern food amazing food service super tasty,Vegetarian Friendly,,,lebanese restaurant set menu middle eastern food amazing food service super tasty,0,1,1,0.6095017337012911
Le Bouche A Oreille,Simorre,"Grand rue Paul Saint Martin Place de la Mairie, 32420 Simorre France",43.45003,0.734325,"French, European, Wine Bar, Fusion, Gastropub",€€-€€€,4.5,137.0,delicious food five courses concert vegetables atmosphere,Vegetarian Friendly,,,delicious food five courses concert vegetables atmosphere,1,1,1,1.802845933627431
Saumur 1929,Saumur,"52 rue Saint Nicolas, 49400, Saumur France",47.26103,-0.079881,"French, European",€,4.5,557.0,tapas pied de cochon pigs feet delicious food must visit if you,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,tapas pied de cochon pigs feet delicious food must visit if you,2,1,1,0.34162106607636444
Comptoir de la Gastronomie,Paris,"34 rue Montmartre, 75001 Paris France",48.864574,2.345303,"French, European",€€-€€€,4.5,1279.0,foie gras ravioli mashed potatoes french onion soup visit paris yelp,Gluten Free Options,"Outdoor Seating, Seating, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Reservations, Wheelchair Accessible, Accepts Credit Cards, Table Service",4.0,foie gras ravioli mashed potatoes french onion soup visit paris yelp,5,1,1,0.30334303951450914
Bistro Regent Toulouse - Bd Strasbourg,Toulouse,"14 boulevard de Strasbourg, 31000, Toulouse France",43.606922,1.447479,French,€€-€€€,3.5,621.0,green salad unlimited fries grilled duck steak sauce,,,4.0,green salad unlimited fries grilled duck steak sauce,5,0,0,-0.5123078907831272
Le Petit Lindaret,Montriond,"Les Lindarets Montriond, Avoriaz, Morzine, Portes du Soleil, 74110 Montriond, Morzine France",46.210957,6.774072,"French, European",€€-€€€,4.5,127.0,lunch goat salad plat du jour two days,Vegetarian Friendly,,4.5,lunch goat salad plat du jour two days,2,1,1,0.15781050250475648
Le Marsala,Bayeux,"17 rue des Cuisiniers, 14400, Bayeux France",49.27661,-0.703835,"Italian, European",€€-€€€,3.5,713.0,masala pizza salad chocolate mousse mussels,Vegetarian Friendly,,3.5,masala pizza salad chocolate mousse mussels,5,0,1,0.14518954754281033
"Ar Men Du, Restaurant Gastronomique face à la mer",Nevez,"Raguenez Plage 47 rue des Iles Ar Men Du Hotel et Restaurant gastronomique, 29920 Nevez France",47.788914,-3.799861,"French, European",€€€€,4.5,406.0,family group sommelier wines anniversary knowledge,Vegetarian Friendly,,4.0,family group sommelier wines anniversary knowledge,1,1,1,1.3965237556582926
L'Escale,Cap-Ferret,"Jetee Belisaire, 33970 Cap-Ferret, Lege-Cap-Ferret France",44.65653,-1.239378,"French, Seafood, European, Healthy",€€-€€€,4.0,2824.0,seafood duck confit sole moules arcachon bay,Vegetarian Friendly,,4.0,seafood duck confit sole moules arcachon bay,5,1,1,0.14925770387183956
Lou Baitandys Bar Restaurant,Les Gets,"224 route du Front de Neige 74260, 74260 Les Gets France",46.1575,6.66873,French,€€-€€€,3.0,56.0,escargot salad sunny day friendly service chavannes,,"Reservations, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",,escargot salad sunny day friendly service chavannes,2,0,1,1.0364940526480777
La Bisqu'in,Beauvoir,"32 route du Mont Saint Michel, 50170 Beauvoir France",48.596676,-1.512543,"French, Seafood, European",€€-€€€,4.0,331.0,fish soup ham mont st michel fish day trio,,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",3.5,fish soup ham mont st michel fish day trio,2,1,1,0.3633333224781487
Le Petit Pontoise,Paris,"9 rue de Pontoise 9 Rue de Pontoise, 75005 Paris France",48.849945,2.352111,"French, European",€€-€€€,4.5,1125.0,pig cheeks escargot vanilla slice sea bass catfish,Vegetarian Friendly,,4.0,pig cheeks escargot vanilla slice sea bass catfish,4,1,1,0.8049198277119806
Le Grand Bleu,Cassis,"12 quai des Baux, 13260 Cassis France",43.21459,5.53743,"French, Seafood, Mediterranean, European, Healthy",€€-€€€,4.5,1501.0,fish gambas friendly service port tourists,"Vegetarian Friendly, Gluten Free Options",,4.5,fish gambas friendly service port tourists,5,1,1,0.6199900731867594
Cote Saisons,Laroque des Alberes,"10 avenue de la Cote Vermeille, 66740 Laroque des Alberes France",42.522465,2.935981,"French, Mediterranean, European",€€€€,4.5,522.0,chocolate dessert excellent food great night fresh ingredients ingrid,,"Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",4.5,chocolate dessert excellent food great night fresh ingredients ingrid,1,1,1,1.3136064498517808
Thai Spices,Paris,"5 rue de l ave Maria, 75004 Paris France",48.852665,2.360397,Thai,€€-€€€,4.5,562.0,thai food green curry soup spring rolls beef,"Vegetarian Friendly, Vegan Options",,4.5,thai food green curry soup spring rolls beef,0,1,1,0.8908502752765333
La Petite Auberge,Rouen,"164 rue Martainville, 76000, Rouen France",49.439716,1.099779,"French, European, Healthy",€€-€€€,4.5,1279.0,escargot steak salad profiteroles fruits de mer,,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,escargot steak salad profiteroles fruits de mer,5,1,1,0.07296369260592073
L'Escapade Gourmande,Riberac,"2 B avenue de Verdun, 24600, Riberac France",45.24748,0.337351,"Italian, French, Pizza, Healthy, Medicinal foods",€€-€€€,4.0,150.0,pizza creme brulee cafe gourmand home made owner,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,4.0,pizza creme brulee cafe gourmand home made owner,3,1,1,1.1252196869022226
Le Grizzli,Macot-la-Plagne,"Plagne Village A l'arrivée du télébus et de la navette gratuite, 73210 Macot-la-Plagne, Aime France",45.50611,6.684104,"French, Grill",€€-€€€,4.5,655.0,steak prawns fondue tartiflette fries,Vegetarian Friendly,,4.5,steak prawns fondue tartiflette fries,5,1,1,0.3939870287597491
A L'Arbaletrier,Riquewihr,"12 rue du General de Gaulle, 68340 Riquewihr France",48.166573,7.298882,"French, European",€€-€€€,4.0,280.0,escargot cellar cave town alsace,,"Reservations, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,escargot cellar cave town alsace,2,1,1,0.08528598369789442
Bistrot du Boucher,Poitiers,"31 rue Carnot, 86000, Poitiers France",46.578842,0.338618,"French, European, Healthy",€€-€€€,4.5,1905.0,steak tartare salad roast potatoes fries,,,4.0,steak tartare salad roast potatoes fries,5,1,0,-0.6305406009644746
Le Wilson,Paris,"2 Pl Trocadero Et du 11 Novembre, 75116 Paris France",48.863262,2.287942,"French, European",€€-€€€,4.0,1435.0,steak salad creme brûlée snails fries,Vegetarian Friendly,"Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",3.5,steak salad creme brûlée snails fries,5,1,1,0.2959247844445241
Kohinoor,Paris,"23 rue Blanche, 75009 Paris France",48.879368,2.331432,Indian,€€-€€€,3.5,220.0,indian food best indian recommend restaurant gravy dish,"Vegetarian Friendly, Vegan Options",,3.0,indian food best indian recommend restaurant gravy dish,3,0,1,1.4515184517574746
Asuka,Magny-le-Hongre,"60 rue du Moulin a Vent, 77700 Magny-le-Hongre, Marne-la-Vallee France",48.866943,2.809556,"Chinese, Japanese, Thai, Vietnamese, Asian",€€-€€€,5.0,176.0,sushi soups amazing staff delicious meal thai,Vegetarian Friendly,,,sushi soups amazing staff delicious meal thai,1,1,1,0.7961227356729974
Cafe Truc,Paris,"8 rue Froment, 75011 Paris France",48.857147,2.372863,"French, European",€€-€€€,4.0,195.0,potatoes beef scallops copper pan close our hotel,,"Outdoor Seating, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Full Bar",4.5,potatoes beef scallops copper pan close our hotel,2,1,1,1.0158237917436317
Les Cabines,Ouistreham,"19 route de Lion, 14150 Ouistreham France",49.284576,-0.262078,"French, European",€€-€€€,4.5,472.0,potatoes chicken saturday night main course port,Vegetarian Friendly,,4.0,potatoes chicken saturday night main course port,1,1,1,0.34367973710691435
Distrito Francés Saint Martin,Paris,"10 rue du Faubourg Saint Martin, 75010 Paris France",48.86956,2.355855,"Mexican, Latin, Central American",€€-€€€,4.0,288.0,burrito tacos guacamole pork mexican food,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,burrito tacos guacamole pork mexican food,1,1,1,0.023779409750462555
Tita,Aix-en-Provence,"6 rue des Bernardines, 13100, Aix-en-Provence France",43.52762,5.446102,"Lebanese, Mediterranean, Israeli",€,5.0,432.0,hummus kefta middle eastern food fantastic lunch tasty food,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,hummus kefta middle eastern food fantastic lunch tasty food,0,1,1,1.1484467633912292
L'Ecurie Restaurant,Nice,"4 rue du Marche Old Nice, 06300 Nice France",43.697704,7.275198,"Italian, French, Healthy",€€-€€€,4.0,1366.0,ravioli pizza red mullet flambe salad,Vegetarian Friendly,,4.0,ravioli pizza red mullet flambe salad,2,1,0,-0.11552721253877418
L'Ancienne Chapelle,Strasbourg,"2 B Place des Orphelins, 67000, Strasbourg France",48.578957,7.754384,"French, European",€€-€€€,4.0,98.0,duck potatoes salad giselle madame,,"Reservations, Seating, Serves Alcohol, Table Service",3.5,duck potatoes salad giselle madame,5,1,1,0.569112114048135
Voga Goga,Bourg Saint Maurice,"Arc 1800 Residence Edenarc, Arc 1800, 73700, Bourg Saint Maurice France",45.573624,6.785697,"French, Bar, European, Grill",€€-€€€,4.0,396.0,pizza half board ate here dinner service service little slow,Vegetarian Friendly,,,pizza half board ate here dinner service service little slow,3,1,1,0.2440633287910795
Le Félix Faure,Nice,"12 avenue Felix Faure, 06000 Nice France",43.69791,7.272642,"French, Grill, Healthy",€€-€€€,4.5,605.0,rice vegetables lasagna moules frites institution portion sizes,Vegetarian Friendly,,,rice vegetables lasagna moules frites institution portion sizes,3,1,1,0.34085118974873235
La Marina,Paris,"18 rue de la Michodiere, 75002 Paris France",48.87042,2.334839,"Japanese, Sushi, Asian, Grill, Japanese Fusion",€€-€€€,4.5,216.0,sushi rice gyoza soup great food,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,sushi rice gyoza soup great food,3,1,1,0.5841344824160748
Auberge des Vignes,Volnay,"Rd 974 Rd 74, 21190 Volnay France",46.99268,4.79373,"French, European",€€-€€€,4.0,164.0,excellent menu excellent dinner vineyard burgundy meat,,,4.0,excellent menu excellent dinner vineyard burgundy meat,1,1,1,1.3583264672876116
L'Epicea,Flaine,74300 Flaine France,46.002098,6.700454,"French, Bar, European",€€-€€€,4.5,140.0,lunch chilli nachos salad green run,Vegetarian Friendly,,4.0,lunch chilli nachos salad green run,0,1,0,-0.7197789287299327
Restaurant Le Chamois d'or,Val Thorens,"Rue du Soleil, 73440 Val Thorens, Les Belleville France",45.296185,6.581514,"French, Brew Pub, Dining bars",€€-€€€,3.5,181.0,pizza salad carbonara beef fondue,Vegetarian Friendly,,3.5,pizza salad carbonara beef fondue,0,0,0,-0.09893194169145869
Relais de Mirepoix,Mirepoix,"8 rue Marechal Clauzel, 09500, Mirepoix France",43.088062,1.875436,"French, Mediterranean, European, Fusion",€€-€€€,5.0,171.0,delicious food dining room memorable evening chef carl co owner,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,delicious food dining room memorable evening chef carl co owner,1,1,1,1.8255121227021238
Le Grenier à Sel,Chagny,"4 rue Marc Boillet, 71150, Chagny France",46.90957,4.754242,"French, Barbecue, European",€€-€€€,4.5,600.0,open fire small salad three courses bbq wine,,"Reservations, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.5,open fire small salad three courses bbq wine,0,1,1,1.0906323387095314
Le Moulin de Varen,Varen,"Le bourg Le Bourg, 82330 Varen, Saint-Antonin Noble Val France",44.164474,1.900635,French,€€-€€€,4.5,315.0,scallops nougat mash guinea fowl gazpacho,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Parking Available, Highchairs Available, Full Bar, Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Free Wifi",4.0,scallops nougat mash guinea fowl gazpacho,2,1,1,1.1311867558996078
Le Bistrot Cordais,Cordes-sur-Ciel,"11 Place de la Bouteillerie, 81170, Cordes-sur-Ciel France",44.063023,1.95791,"French, Bar, European, Pub",€€-€€€,4.0,425.0,chops excellent quality beautiful view terrace august,Vegetarian Friendly,,4.0,chops excellent quality beautiful view terrace august,1,1,0,-0.1555922816217623
Le Bistrot du Pollet,Dieppe,"23 rue Tete de Boeuf, 76200, Dieppe France",49.927193,1.083781,"French, European",€€-€€€,4.5,310.0,souffle girolles bistrot style diners calvados,,,3.5,souffle girolles bistrot style diners calvados,3,1,1,0.7561496581173418
TRADI,Paris,"4 rue du Mail, 75002 Paris France",48.866413,2.341663,"Contemporary, French",€€-€€€,4.5,533.0,english speaking great french food wonderful dinner visiting paris waiter,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,english speaking great french food wonderful dinner visiting paris waiter,3,1,1,1.1374641251250521
Le Bistrot St Julien,Domfront,"Cite Medievale, 2 Place St. Julien, 61700, Domfront France",48.59373,-0.649479,"French, European",€€-€€€,4.0,209.0,burger duck presented food three courses old town,Vegetarian Friendly,,4.0,burger duck presented food three courses old town,2,1,1,0.32775426825798043
Ferme de Janou,Bugarach,"6 Chemin de Cugurou Lieu dit le Pla den Janou, 11190 Bugarach France",42.874767,2.350058,"European, Grill, Catalan",€€-€€€,4.5,198.0,chicken remote location set menu courses waiter,Vegetarian Friendly,,4.0,chicken remote location set menu courses waiter,4,1,0,-0.4079357759940542
Restaurant Le Saint Charles,Saint-Omer,"6 rue du Minck, 62500 Saint-Omer France",50.748646,2.25144,"French, European",€€-€€€,4.5,341.0,foie gras lovely restaurant food wine main square menus,Vegetarian Friendly,,4.0,foie gras lovely restaurant food wine main square menus,0,1,1,0.04474824858062365
La bodega bonifacio,Bonifacio,"avenue de la Carrotola, 20169 Bonifacio, Corsica France",41.387,9.157784,"French, Mediterranean, European, Healthy",€€-€€€,4.5,1510.0,rosé lamb mussels degustation magnifique,Vegetarian Friendly,,4.5,rosé lamb mussels degustation magnifique,4,1,1,0.9466311711439042
Wistub Brenner,Colmar,"1 rue Turenne Colmar, France, 68000, Colmar France",48.0739,7.357708,"French, European",€€-€€€,4.0,1203.0,choucroute sauerkraut onion tart pork cheeks snails,Vegetarian Friendly,,4.0,choucroute sauerkraut onion tart pork cheeks snails,5,1,0,-0.7181412177842245
Restaurant La Tradition,Lille,"73 rue Massena 73 Rue Massena, 59800, Lille France",50.63179,3.054697,"French, European, Pub, Diner, Gastropub",€€-€€€,4.5,397.0,tuna sunday evening main course english dessert,Vegetarian Friendly,,4.0,tuna sunday evening main course english dessert,1,1,1,1.0182969597999545
Restaurant Alpage de Balme,Argentiere,"Domaine de Balme, 74400 Argentiere, Chamonix France",46.02141,6.949644,"French, European",€€-€€€,4.5,67.0,lunch lovely little place book avoid disappointment le tour skiing,,"Reservations, Outdoor Seating, Seating, Table Service",,lunch lovely little place book avoid disappointment le tour skiing,0,1,1,1.3388792598589458
Le Saint Julien,Saint-Julien-Beychevelle,"11 rue de Saint Julien, 33250 Saint-Julien-Beychevelle France",45.164677,-0.740347,"French, European",€€€€,4.5,462.0,foie gras lamb potato gratin salad left bank,,"Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4.0,foie gras lamb potato gratin salad left bank,3,1,1,0.4515662349095825
Hugo,Paris,"12 rue Papillon, 75009 Paris France",48.876266,2.347358,French,€€-€€€,4.5,1069.0,duck rice french bistro waiter pave,"Vegetarian Friendly, Vegan Options",,4.0,duck rice french bistro waiter pave,5,1,1,0.04138126000490916
Le Moulin de la Tardoire,Montbron,"Rue de la Forge La Forge de Pierre Pendu, 16220 Montbron France",45.67677,0.513952,"French, European",€€€€,4.5,540.0,river great success special birthday setting euros,"Vegetarian Friendly, Gluten Free Options",,4.5,river great success special birthday setting euros,1,1,1,0.2887735818048899
Le Club 55,Ramatuelle,"43 boulevard Patch Plage de Pampelonne, 83350 Ramatuelle, Saint-Tropez France",43.227505,6.661639,"French, Mediterranean, European",€€€€,4.0,1517.0,institution south france beach restaurant pampelonne beach club,"Vegetarian Friendly, Vegan Options",,4.0,institution south france beach restaurant pampelonne beach club,3,1,1,0.6451309098385499
Chez Salvatore,Jullouville,"27 avenue de la Liberation, 50610 Jullouville France",48.776253,-1.5676,"Mediterranean, Italian",€€-€€€,4.0,241.0,pizza bruschetta family run restaurant salvatore chez,Vegetarian Friendly,,4.0,pizza bruschetta family run restaurant salvatore chez,0,1,1,0.682619531027831
L'Aperitif Français,Aix-en-Provence,"14 rue Gaston de Saporta, 13100, Aix-en-Provence France",43.530704,5.447617,"French, European, Wine Bar, Brew Pub, Dining bars",€€-€€€,5.0,160.0,charcuterie truffle salad bottle red wine great wine,,,,charcuterie truffle salad bottle red wine great wine,2,1,1,0.7845199585007496
Restaurant Le Grand Bleu,Sarlat-la-Caneda,"43 avenue de la Gare, 24200, Sarlat-la-Canéda France",44.877712,1.219411,"French, European",€€€€,4.5,629.0,railway station excellent meal wonderful food chef texture,,,4.0,railway station excellent meal wonderful food chef texture,1,1,1,0.10472964401390161
Balthazar Cafe Restaurant,Montpellier,"9 Place Chabaneau, 34000, Montpellier France",43.611404,3.876115,"French, European",€€-€€€,4.5,205.0,risotto fabulous food last night ate here square,Vegetarian Friendly,,,risotto fabulous food last night ate here square,1,1,0,-0.2680335598413488
La Maison Carrier,Chamonix,"44 route du Bouchet Hameau Albert 1er, 74400, Chamonix France",45.92485,6.874495,"French, European",€€-€€€,4.0,772.0,rack lamb steak dessert buffet wood fire all you can eat,"Vegetarian Friendly, Gluten Free Options",,4.0,rack lamb steak dessert buffet wood fire all you can eat,3,1,0,-0.3790447645470555
La Table de la Bastide,Carcassonne Center,"55 rue Aime Ramond, 11000 Carcassonne Center, Carcassonne France",43.21183,2.351129,"French, European, Contemporary",€€-€€€,4.5,232.0,owner chef service great fabulous food dishes dessert,"Vegetarian Friendly, Gluten Free Options",,,owner chef service great fabulous food dishes dessert,1,1,1,2.473425443915147
Le Bistrot De Malfourat,Monbazillac,"Malfourat, 24240 Monbazillac, Bergerac France",44.796665,0.461994,"French, Gastropub",€€-€€€,4.0,140.0,cheese plate burger salmon soup michelin star restaurant,,,,cheese plate burger salmon soup michelin star restaurant,5,1,1,1.6645403136029222
Hotel de Normandie Restaurant,Arromanches-les-Bains,"5 Place du 6 Juin 1944, 14117 Arromanches-les-Bains France",49.34002,-0.621662,"French, European",€€-€€€,3.0,493.0,seafood prawns crab three courses belgium,,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",3.0,seafood prawns crab three courses belgium,1,0,1,0.6977231975325586
Cafe Hugo,Paris,"22 Place des Vosges, 75004 Paris France",48.855972,2.366541,"French, Cafe, European",€€-€€€,3.5,779.0,croque madame steak tartare place des vosges people watching,Vegetarian Friendly,,3.5,croque madame steak tartare place des vosges people watching,0,0,0,-0.4286424245155923
Le Buisson Ardent,Paris,"25 rue Jussieu, 75005 Paris France",48.84688,2.354261,"French, European",€€€€,4.5,991.0,risotto chicken steak bistro dessert,Vegetarian Friendly,,4.0,risotto chicken steak bistro dessert,5,1,1,0.7556081155861158
La Dame de Pic,Paris,"20 rue du Louvre, 75001 Paris France",48.86147,2.341272,"French, European, Healthy",€€€€,4.0,989.0,amuse bouche tasting menu anne sophie pic open kitchen menu plaisir,Vegetarian Friendly,,4.0,amuse bouche tasting menu anne sophie pic open kitchen menu plaisir,4,1,1,1.183533781891978
La Chaumiere,Font-Romeu-Odeillo-Via,"96 avenue Emmanuel Brousse, 66120 Font-Romeu-Odeillo-Via France",42.50529,2.043889,"French, European, Catalan",€€-€€€,4.5,845.0,steak tartare snails excellent dinner font romeu great restaurant,Vegetarian Friendly,,4.5,steak tartare snails excellent dinner font romeu great restaurant,3,1,1,1.406872010420173
Bistrot Des Roques,Saint-Pantaleon,"225 rue des Roques, 84220 Saint-Pantaleon, Gordes France",43.881016,5.216095,"French, Mediterranean",€€-€€€,4.5,184.0,lunch friendly service lovely terrace quiet village saint,,,,lunch friendly service lovely terrace quiet village saint,0,1,1,0.3531205468990535
Casa Nissa,Nice,"55 rue Gioffredo, 06000 Nice France",43.69827,7.270199,"Italian, French, Mediterranean, European",€€-€€€,4.0,476.0,tapas pizza salad ribs ham,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,4.0,tapas pizza salad ribs ham,5,1,1,0.6551380261525637
Cocorico,Paris,"5 rue du Bac, 75007 Paris France",48.859135,2.328987,"French, International, European, Bar, Pub",€€-€€€,4.5,349.0,onion soup snails chicken burger frog legs croque madame,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,,onion soup snails chicken burger frog legs croque madame,5,1,0,-0.4484220889145686
Maison Plisson,Paris,"93 boulevard Beaumarchais, 75003 Paris France",48.859627,2.367573,"French, European",€€-€€€,3.5,569.0,salad baguette jamon sandwiches marais,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,3.5,salad baguette jamon sandwiches marais,5,0,1,0.6842758919911877
les fines gueules,Paris,"43 rue Croix des Petits Champs, 75001 Paris France",48.865128,2.340658,"French, European, Wine Bar",€€-€€€,4.5,502.0,tuna tartare endive lamb oysters rice,"Vegetarian Friendly, Gluten Free Options","Reservations, Outdoor Seating, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",4.5,tuna tartare endive lamb oysters rice,1,1,1,0.10449362642954962
